,0
2019-10-01,97.88553362070738
2019-11-01,96.11415659374735
2019-12-01,106.86257238755306
2020-01-01,113.85964598951792
2020-02-01,104.95019535896303
2020-03-01,101.14245442368265
2020-04-01,95.50468093567585
2020-05-01,102.69366143407996
2020-06-01,118.47347819369341
2020-07-01,131.06493844748442
2020-08-01,130.60486231548958
2020-09-01,117.56085875894568
2020-10-01,104.94796093914275
2020-11-01,103.04877931181218
2020-12-01,114.57269177529139
2021-01-01,122.07460324172662
2021-02-01,112.52233701628215
2021-03-01,108.43986811448681
2021-04-01,102.39533007175903
2021-05-01,110.102994489897
2021-06-01,127.02132278273486
2021-07-01,140.5212551016621
2021-08-01,140.0279845422276
2021-09-01,126.04285798566552
